Text,Translation,Language,Category
Read the handout carefully,কাগজটা ভাল করে পড়ুন।,Bengali,Medical Instructions,
You have tested positive for coronavirus.,আপনার কোভিড পরীক্ষা করা হয়েছে এবং আপনার কোভিড হয়েছে,Bengali,Medical Instructions,
We will take you to the hospital.,আমরা আপনাকে হাসপাতাল নিয়ে যাবো,Bengali,Medical Instructions,
We will transfer to you an isolation facility.,আমরা আপনাকে আলাদা করে রাখতে অন্য এক জায়গায় নিয়ে যাবো,Bengali,Medical Instructions,
Do you have a fever?,আপনার কি জ্বর আছে?,Bengali,Symptoms,
How many days?,কতদিন ধরে ?,Bengali,Symptoms,
"Did you measure it with a thermometer? If you did, what was the highest reading?",আপনি কি থার্মোমিটার দিয়ে জ্বর মেপেছেন? করে থাকলে সবচেয়ে বেশি তাপমাত্রা কত ছিল?,Bengali,Symptoms,
Runny nose?,সর্দি আছে?,Bengali,Symptoms,
Cough?,কাশি?,Bengali,Symptoms,
Sore throat?,গলা ব্যথা?,Bengali,Symptoms,
Difficulty breathing?,শ্বাস কষ্ট?,Bengali,Symptoms,
Anosmia,নাকে কি গন্ধ কম পাচ্ছেন?,Bengali,Symptoms,
Ageusia,মুখে কি স্বাদ কম লাগে?,Bengali,Symptoms,
Do you have diarrhoea? How many times a day?,আপনার কি পেট খারাপ হচ্ছে? হলে এক দিনে কত বার হয়?,Bengali,Symptoms,
Rash?,শরীরের কোনো জায়গায় কোনো রেশ বা চুলকানি আছে?,Bengali,Symptoms,
"Any pain? Specifically, any chest pain?","আপনার কি শরীরে কোনো জায়গায় ব্যাথা আছে? বিষেশ করে, কোন বুক ব্যথা আছে?",Bengali,Symptoms,
